year,team,player_name
2010,Ghana,Asamoah Gyan
2010,Ghana,John Paintsil
2010,Ghana,John Mensah (c)
2010,Ghana,Anthony Annan
2010,Ghana,Samuel Inkoom
2010,Ghana,Jonathan Mensah
2010,Ghana,Derek Boateng
2010,Ghana,Stephen Appiah
2010,Ghana,Sulley Muntari
2010,Ghana,Prince Tagoe
2010,Ghana,André Ayew
2010,Ghana,Matthew Amoah
2010,Ghana,Isaac Vorsah
2010,Ghana,Stephen Ahorlu
2010,Ghana,Ibrahim Ayew
2010,Ghana,Dominic Adiyiah
2010,Ghana,Lee Addy
2010,Ghana,Quincy Owusu-Abeyie
2010,Ghana,Kwadwo Asamoah
2010,Ghana,Richard Kingson
2010,Ghana,Kevin-Prince Boateng
2010,Serbia,Vladimir Stojković
2010,Serbia,Antonio Rukavina
2010,Serbia,Aleksandar Kolarov
2010,Serbia,Gojko Kačar
2010,Serbia,Nemanja Vidić
2010,Serbia,Branislav Ivanović
2010,Serbia,Zoran Tošić
2010,Serbia,Danko Lazović
2010,Serbia,Marko Pantelić
2010,Serbia,Dejan Stanković (c)
2010,Serbia,Nenad Milijaš
2010,Serbia,Bojan Isailović
2010,Serbia,Aleksandar Luković
2010,Serbia,Milan Jovanović
2010,Serbia,Nikola Žigić
2010,Serbia,Ivan Obradović
2010,Serbia,Miloš Krasić
2010,Serbia,Miloš Ninković
2010,Serbia,Radosav Petrović
2010,Serbia,Neven Subotić
2010,Serbia,Dragan Mrđa
2010,Serbia,Zdravko Kuzmanović
2010,Serbia,Anđelko Đuričić
2010,Cameroon,Carlos Kameni
2010,Cameroon,Benoît Assou-Ekotto
2010,Cameroon,Nicolas Nkoulou
2010,Cameroon,Rigobert Song
2010,Cameroon,Sébastien Bassong
2010,Cameroon,Alex Song
2010,Cameroon,Landry N'Guémo
2010,Cameroon,Geremi
2010,Cameroon,Samuel Eto'o (c)
2010,Cameroon,Achille Emaná
2010,Cameroon,Jean Makoun
2010,Cameroon,Gaëtan Bong
2010,Cameroon,Eric Maxim Choupo-Moting
2010,Cameroon,Aurélien Chedjou
2010,Cameroon,Pierre Webó
2010,Cameroon,Souleymanou Hamidou
2010,Cameroon,Mohammadou Idrissou
2010,Cameroon,Eyong Enoh
2010,Cameroon,Stéphane Mbia
2010,Cameroon,Georges Mandjeck
2010,Cameroon,Joël Matip
2010,Cameroon,Guy N'dy Assembé
2010,Cameroon,Vincent Aboubakar
2010,Denmark,Thomas Sørensen
2010,Denmark,Christian Poulsen
2010,Denmark,Simon Kjær
2010,Denmark,Daniel Agger
2010,Denmark,William Kvist
2010,Denmark,Lars Jacobsen
2010,Denmark,Daniel Jensen
2010,Denmark,Jesper Grønkjær
2010,Denmark,Jon Dahl Tomasson (c)
2010,Denmark,Martin Jørgensen
2010,Denmark,Nicklas Bendtner
2010,Denmark,Thomas Kahlenberg
2010,Denmark,Per Krøldrup
2010,Denmark,Jakob Poulsen
2010,Denmark,Simon Poulsen
2010,Denmark,Stephan Andersen
2010,Denmark,Mikkel Beckmann
2010,Denmark,Søren Larsen
2010,Denmark,Dennis Rommedahl
2010,Denmark,Thomas Enevoldsen
2010,Denmark,Christian Eriksen
2010,Denmark,Jesper Christiansen
2010,Denmark,Patrick Mtiliga
2010,Japan,Seigo Narazaki
2010,Japan,Yuki Abe
2010,Japan,Yūichi Komano
2010,Japan,Marcus Tulio Tanaka
2010,Japan,Yuto Nagatomo
2010,Japan,Atsuto Uchida
2010,Japan,Yasuhito Endō
2010,Japan,Daisuke Matsui
2010,Japan,Shinji Okazaki
2010,Japan,Shunsuke Nakamura
2010,Japan,Keiji Tamada
2010,Japan,Kisho Yano
2010,Japan,Daiki Iwamasa
2010,Japan,Kengo Nakamura
2010,Japan,Yasuyuki Konno
2010,Japan,Yoshito Ōkubo
2010,Japan,Makoto Hasebe
2010,Japan,Keisuke Honda
2010,Japan,Takayuki Morimoto
2010,Japan,Junichi Inamoto
2010,Japan,Eiji Kawashima
2010,Japan,Yuji Nakazawa (c)
2010,Japan,Yoshikatsu Kawaguchi
2010,Netherlands,Maarten Stekelenburg
2010,Netherlands,Gregory van der Wiel
2010,Netherlands,John Heitinga
2010,Netherlands,Joris Mathijsen
2010,Netherlands,Giovanni van Bronckhorst (c)
2010,Netherlands,Mark van Bommel
2010,Netherlands,Dirk Kuyt
2010,Netherlands,Nigel de Jong
2010,Netherlands,Robin van Persie
2010,Netherlands,Wesley Sneijder
2010,Netherlands,Arjen Robben
2010,Netherlands,Khalid Boulahrouz
2010,Netherlands,André Ooijer
2010,Netherlands,Demy de Zeeuw
2010,Netherlands,Edson Braafheid
2010,Netherlands,Michel Vorm
2010,Netherlands,Eljero Elia
2010,Netherlands,Stijn Schaars
2010,Netherlands,Ryan Babel
2010,Netherlands,Ibrahim Afellay
2010,Netherlands,Klaas-Jan Huntelaar
2010,Netherlands,Sander Boschker
2010,Netherlands,Rafael van der Vaart
2010,Italy,Gianluigi Buffon
2010,Italy,Christian Maggio
2010,Italy,Domenico Criscito
2010,Italy,Giorgio Chiellini
2010,Italy,Fabio Cannavaro (c)
2010,Italy,Daniele De Rossi
2010,Italy,Simone Pepe
2010,Italy,Gennaro Gattuso
2010,Italy,Vincenzo Iaquinta
2010,Italy,Antonio Di Natale
2010,Italy,Alberto Gilardino
2010,Italy,Federico Marchetti
2010,Italy,Salvatore Bocchetti
2010,Italy,Morgan De Sanctis
2010,Italy,Claudio Marchisio
2010,Italy,Mauro Camoranesi
2010,Italy,Angelo Palombo
2010,Italy,Fabio Quagliarella
2010,Italy,Gianluca Zambrotta
2010,Italy,Giampaolo Pazzini
2010,Italy,Andrea Pirlo
2010,Italy,Riccardo Montolivo
2010,Italy,Leonardo Bonucci
2010,New Zealand,Mark Paston
2010,New Zealand,Ben Sigmund
2010,New Zealand,Tony Lochhead
2010,New Zealand,Winston Reid
2010,New Zealand,Ivan Vicelich
2010,New Zealand,Ryan Nelsen (c)
2010,New Zealand,Simon Elliott
2010,New Zealand,Tim Brown
2010,New Zealand,Shane Smeltz
2010,New Zealand,Chris Killen
2010,New Zealand,Leo Bertos
2010,New Zealand,Glen Moss
2010,New Zealand,Andy Barron
2010,New Zealand,Rory Fallon
2010,New Zealand,Michael McGlinchey
2010,New Zealand,Aaron Clapham
2010,New Zealand,Dave Mulligan
2010,New Zealand,Andrew Boyens
2010,New Zealand,Tommy Smith
2010,New Zealand,Chris Wood
2010,New Zealand,Jeremy Christie
2010,New Zealand,Jeremy Brockie
2010,New Zealand,James Bannatyne
2010,Paraguay,Justo Villar
2010,Paraguay,Darío Verón
2010,Paraguay,Claudio Morel
2010,Paraguay,Denis Caniza (c)
2010,Paraguay,Julio César Cáceres
2010,Paraguay,Carlos Bonet
2010,Paraguay,Óscar Cardozo
2010,Paraguay,Édgar Barreto
2010,Paraguay,Roque Santa Cruz
2010,Paraguay,Édgar Benítez
2010,Paraguay,Jonathan Santana
2010,Paraguay,Diego Barreto
2010,Paraguay,Enrique Vera
2010,Paraguay,Paulo da Silva
2010,Paraguay,Víctor Cáceres
2010,Paraguay,Cristian Riveros
2010,Paraguay,Aureliano Torres
2010,Paraguay,Nelson Valdez
2010,Paraguay,Lucas Barrios
2010,Paraguay,Néstor Ortigoza
2010,Paraguay,Antolín Alcaraz
2010,Paraguay,Aldo Bobadilla
2010,Paraguay,Rodolfo Gamarra
2010,Slovakia,Ján Mucha
2010,Slovakia,Peter Pekarík
2010,Slovakia,Martin Škrtel
2010,Slovakia,Marek Čech
2010,Slovakia,Radoslav Zabavník
2010,Slovakia,Zdeno Štrba
2010,Slovakia,Vladimír Weiss Jr.
2010,Slovakia,Ján Kozák
2010,Slovakia,Stanislav Šesták
2010,Slovakia,Marek Sapara
2010,Slovakia,Róbert Vittek
2010,Slovakia,Dušan Perniš
2010,Slovakia,Filip Hološko
2010,Slovakia,Martin Jakubko
2010,Slovakia,Miroslav Stoch
2010,Slovakia,Ján Ďurica
2010,Slovakia,Marek Hamšík (c)
2010,Slovakia,Erik Jendrišek
2010,Slovakia,Juraj Kucka
2010,Slovakia,Kamil Kopúnek
2010,Slovakia,Kornel Saláta
2010,Slovakia,Martin Petráš
2010,Slovakia,Dušan Kuciak
2010,Brazil,Júlio César
2010,Brazil,Maicon
2010,Brazil,Lúcio (c)
2010,Brazil,Juan
2010,Brazil,Felipe Melo
2010,Brazil,Michel Bastos
2010,Brazil,Elano
2010,Brazil,Gilberto Silva
2010,Brazil,Luís Fabiano
2010,Brazil,Kaká
2010,Brazil,Robinho
2010,Brazil,Heurelho Gomes
2010,Brazil,Dani Alves
2010,Brazil,Luisão
2010,Brazil,Thiago Silva
2010,Brazil,Gilberto
2010,Brazil,Josué
2010,Brazil,Ramires
2010,Brazil,Júlio Baptista
2010,Brazil,Kléberson
2010,Brazil,Nilmar
2010,Brazil,Doni
2010,Brazil,Grafite
2010,Ivory Coast,Boubacar Barry
2010,Ivory Coast,Benjamin Angoua
2010,Ivory Coast,Arthur Boka
2010,Ivory Coast,Kolo Touré
2010,Ivory Coast,Didier Zokora
2010,Ivory Coast,Steve Gohouri
2010,Ivory Coast,Seydou Doumbia
2010,Ivory Coast,Salomon Kalou
2010,Ivory Coast,Cheick Tioté
2010,Ivory Coast,Gervinho
2010,Ivory Coast,Didier Drogba (c)
2010,Ivory Coast,Jean-Jacques Gosso
2010,Ivory Coast,Romaric
2010,Ivory Coast,Emmanuel Koné
2010,Ivory Coast,Aruna Dindane
2010,Ivory Coast,Aristide Zogbo
2010,Ivory Coast,Siaka Tiéné
2010,Ivory Coast,Kader Keïta
2010,Ivory Coast,Yaya Touré
2010,Ivory Coast,Guy Demel
2010,Ivory Coast,Emmanuel Eboué
2010,Ivory Coast,Sol Bamba
2010,Ivory Coast,Daniel Yeboah
2010,North Korea,Ri Myong-guk
2010,North Korea,Cha Jong-hyok
2010,North Korea,Ri Jun-il
2010,North Korea,Pak Nam-chol I
2010,North Korea,Ri Kwang-chon
2010,North Korea,Kim Kum-il
2010,North Korea,An Chol-hyok
2010,North Korea,Ji Yun-nam
2010,North Korea,Jong Tae-se
2010,North Korea,Hong Yong-jo (c)
2010,North Korea,Mun In-guk
2010,North Korea,Choe Kum-chol
2010,North Korea,Pak Chol-jin
2010,North Korea,Pak Nam-chol II
2010,North Korea,Kim Yong-jun
2010,North Korea,Nam Song-chol
2010,North Korea,An Yong-hak
2010,North Korea,Kim Myong-gil
2010,North Korea,Ri Chol-myong
2010,North Korea,Kim Myong-won[9]
2010,North Korea,Ri Kwang-hyok
2010,North Korea,Kim Kyong-il
2010,North Korea,Pak Sung-hyok
2010,Portugal,Eduardo
2010,Portugal,Bruno Alves
2010,Portugal,Paulo Ferreira
2010,Portugal,Rolando
2010,Portugal,Duda
2010,Portugal,Ricardo Carvalho
2010,Portugal,Cristiano Ronaldo (c)
2010,Portugal,Pedro Mendes
2010,Portugal,Liédson
2010,Portugal,Danny
2010,Portugal,Simão
2010,Portugal,Beto
2010,Portugal,Miguel
2010,Portugal,Miguel Veloso
2010,Portugal,Pepe
2010,Portugal,Raul Meireles
2010,Portugal,Ruben Amorim[10]
2010,Portugal,Hugo Almeida
2010,Portugal,Tiago
2010,Portugal,Deco
2010,Portugal,Ricardo Costa
2010,Portugal,Daniel Fernandes
2010,Portugal,Fábio Coentrão
2010,Chile,Claudio Bravo (c)
2010,Chile,Ismael Fuentes
2010,Chile,Waldo Ponce
2010,Chile,Mauricio Isla
2010,Chile,Pablo Contreras
2010,Chile,Carlos Carmona
2010,Chile,Alexis Sánchez
2010,Chile,Arturo Vidal
2010,Chile,Humberto Suazo
2010,Chile,Jorge Valdivia
2010,Chile,Mark González
2010,Chile,Miguel Pinto
2010,Chile,Marco Estrada
2010,Chile,Matías Fernández
2010,Chile,Jean Beausejour
2010,Chile,Fabián Orellana
2010,Chile,Gary Medel
2010,Chile,Gonzalo Jara
2010,Chile,Gonzalo Fierro
2010,Chile,Rodrigo Millar
2010,Chile,Rodrigo Tello
2010,Chile,Esteban Paredes
2010,Chile,Luis Marín
2010,Honduras,Ricardo Canales
2010,Honduras,Osman Chávez
2010,Honduras,Maynor Figueroa
2010,Honduras,Johnny Palacios
2010,Honduras,Víctor Bernárdez
2010,Honduras,Hendry Thomas
2010,Honduras,Ramón Núñez
2010,Honduras,Wilson Palacios
2010,Honduras,Carlos Pavón
2010,Honduras,Jerry Palacios[11]
2010,Honduras,David Suazo
2010,Honduras,Georgie Welcome
2010,Honduras,Roger Espinoza
2010,Honduras,Boniek García
2010,Honduras,Walter Martínez
2010,Honduras,Mauricio Sabillón
2010,Honduras,Édgar Álvarez
2010,Honduras,Noel Valladares
2010,Honduras,Danilo Turcios
2010,Honduras,Amado Guevara (c)
2010,Honduras,Emilio Izaguirre
2010,Honduras,Donis Escober
2010,Honduras,Sergio Mendoza
2010,Spain,Iker Casillas (c)
2010,Spain,Raúl Albiol
2010,Spain,Gerard Piqué
2010,Spain,Carlos Marchena
2010,Spain,Carles Puyol
2010,Spain,Andrés Iniesta
2010,Spain,David Villa
2010,Spain,Xavi
2010,Spain,Fernando Torres
2010,Spain,Cesc Fàbregas
2010,Spain,Joan Capdevila
2010,Spain,Víctor Valdés
2010,Spain,Juan Mata
2010,Spain,Xabi Alonso
2010,Spain,Sergio Ramos
2010,Spain,Sergio Busquets
2010,Spain,Álvaro Arbeloa
2010,Spain,Pedro
2010,Spain,Fernando Llorente
2010,Spain,Javi Martínez
2010,Spain,David Silva
2010,Spain,Jesús Navas
2010,Spain,Pepe Reina
2010,Switzerland,Diego Benaglio
2010,Switzerland,Stephan Lichtsteiner
2010,Switzerland,Ludovic Magnin
2010,Switzerland,Philippe Senderos
2010,Switzerland,Steve von Bergen
2010,Switzerland,Benjamin Huggel
2010,Switzerland,Tranquillo Barnetta
2010,Switzerland,Gökhan Inler
2010,Switzerland,Alexander Frei (c)
2010,Switzerland,Blaise Nkufo
2010,Switzerland,Valon Behrami
2010,Switzerland,Marco Wölfli
2010,Switzerland,Stéphane Grichting
2010,Switzerland,Marco Padalino
2010,Switzerland,Hakan Yakin
2010,Switzerland,Gélson Fernandes
2010,Switzerland,Reto Ziegler
2010,Switzerland,Albert Bunjaku
2010,Switzerland,Eren Derdiyok
2010,Switzerland,Pirmin Schwegler
2010,Switzerland,Johnny Leoni
2010,Switzerland,Mario Eggimann
2010,Switzerland,Xherdan Shaqiri
