year,team,player_name
2010,France,Hugo Lloris
2010,France,Bacary Sagna
2010,France,Eric Abidal
2010,France,Anthony Réveillère
2010,France,William Gallas
2010,France,Marc Planus
2010,France,Franck Ribéry
2010,France,Yoann Gourcuff
2010,France,Djibril Cissé
2010,France,Sidney Govou
2010,France,André-Pierre Gignac
2010,France,Thierry Henry (c)
2010,France,Patrice Evra
2010,France,Jérémy Toulalan
2010,France,Florent Malouda
2010,France,Steve Mandanda
2010,France,Sébastien Squillaci
2010,France,Alou Diarra
2010,France,Abou Diaby
2010,France,Mathieu Valbuena
2010,France,Nicolas Anelka
2010,France,Gaël Clichy
2010,France,Cédric Carrasso
2010,Mexico,Óscar Pérez
2010,Mexico,Francisco Rodríguez
2010,Mexico,Carlos Salcido
2010,Mexico,Rafael Márquez
2010,Mexico,Ricardo Osorio
2010,Mexico,Gerardo Torrado
2010,Mexico,Pablo Barrera
2010,Mexico,Israel Castro
2010,Mexico,Guillermo Franco
2010,Mexico,Cuauhtémoc Blanco (c)
2010,Mexico,Carlos Vela
2010,Mexico,Paul Aguilar
2010,Mexico,Guillermo Ochoa
2010,Mexico,Javier Hernández
2010,Mexico,Héctor Moreno
2010,Mexico,Efraín Juárez
2010,Mexico,Giovani dos Santos
2010,Mexico,Andrés Guardado
2010,Mexico,Jonny Magallón
2010,Mexico,Jorge Torres Nilo
2010,Mexico,Adolfo Bautista
2010,Mexico,Alberto Medina
2010,Mexico,Luis Ernesto Michel
2010,South Africa,Moeneeb Josephs
2010,South Africa,Siboniso Gaxa
2010,South Africa,Tsepo Masilela
2010,South Africa,Aaron Mokoena (c)
2010,South Africa,Anele Ngcongca
2010,South Africa,MacBeth Sibaya
2010,South Africa,Lance Davids
2010,South Africa,Siphiwe Tshabalala
2010,South Africa,Katlego Mphela
2010,South Africa,Steven Pienaar
2010,South Africa,Teko Modise
2010,South Africa,Reneilwe Letsholonyane
2010,South Africa,Kagisho Dikgacoi
2010,South Africa,Matthew Booth
2010,South Africa,Lucas Thwala
2010,South Africa,Itumeleng Khune
2010,South Africa,Bernard Parker
2010,South Africa,Siyabonga Nomvethe
2010,South Africa,Surprise Moriri
2010,South Africa,Bongani Khumalo
2010,South Africa,Siyabonga Sangweni
2010,South Africa,Shu-Aib Walters
2010,South Africa,Thanduyise Khuboni
2010,Uruguay,Fernando Muslera
2010,Uruguay,Diego Lugano (c)
2010,Uruguay,Diego Godín
2010,Uruguay,Jorge Fucile
2010,Uruguay,Walter Gargano
2010,Uruguay,Mauricio Victorino
2010,Uruguay,Edinson Cavani
2010,Uruguay,Sebastián Eguren
2010,Uruguay,Luis Suárez
2010,Uruguay,Diego Forlán
2010,Uruguay,Álvaro Pereira
2010,Uruguay,Juan Castillo
2010,Uruguay,Sebastián Abreu
2010,Uruguay,Nicolás Lodeiro
2010,Uruguay,Diego Pérez
2010,Uruguay,Maxi Pereira
2010,Uruguay,Egidio Arévalo Ríos
2010,Uruguay,Ignacio González
2010,Uruguay,Andrés Scotti
2010,Uruguay,Álvaro Fernández
2010,Uruguay,Sebastián Fernández
2010,Uruguay,Martín Cáceres
2010,Uruguay,Martín Silva
2010,Argentina,Diego Pozo
2010,Argentina,Martín Demichelis
2010,Argentina,Clemente Rodríguez
2010,Argentina,Nicolás Burdisso
2010,Argentina,Mario Bolatti
2010,Argentina,Gabriel Heinze
2010,Argentina,Ángel Di María
2010,Argentina,Juan Sebastián Verón
2010,Argentina,Gonzalo Higuaín
2010,Argentina,Lionel Messi
2010,Argentina,Carlos Tevez
2010,Argentina,Ariel Garcé
2010,Argentina,Walter Samuel
2010,Argentina,Javier Mascherano (c)
2010,Argentina,Nicolás Otamendi
2010,Argentina,Sergio Agüero
2010,Argentina,Jonás Gutiérrez
2010,Argentina,Martín Palermo
2010,Argentina,Diego Milito
2010,Argentina,Maxi Rodríguez
2010,Argentina,Mariano Andújar
2010,Argentina,Sergio Romero
2010,Argentina,Javier Pastore
2010,Greece,Kostas Chalkias
2010,Greece,Giourkas Seitaridis
2010,Greece,Christos Patsatzoglou
2010,Greece,Nikos Spyropoulos
2010,Greece,Vangelis Moras
2010,Greece,Alexandros Tziolis
2010,Greece,Georgios Samaras
2010,Greece,Avraam Papadopoulos
2010,Greece,Angelos Charisteas
2010,Greece,Giorgos Karagounis (c)
2010,Greece,Loukas Vyntra
2010,Greece,Alexandros Tzorvas
2010,Greece,Michalis Sifakis
2010,Greece,Dimitris Salpingidis
2010,Greece,Vasilis Torosidis
2010,Greece,Sotirios Kyrgiakos
2010,Greece,Theofanis Gekas
2010,Greece,Sotiris Ninis
2010,Greece,Sokratis Papastathopoulos
2010,Greece,Pantelis Kapetanos
2010,Greece,Kostas Katsouranis
2010,Greece,Stelios Malezas
2010,Greece,Sakis Prittas
2010,Nigeria,Vincent Enyeama
2010,Nigeria,Joseph Yobo
2010,Nigeria,Taye Taiwo
2010,Nigeria,Nwankwo Kanu (c)
2010,Nigeria,Rabiu Afolabi
2010,Nigeria,Danny Shittu
2010,Nigeria,John Utaka
2010,Nigeria,Yakubu
2010,Nigeria,Obafemi Martins
2010,Nigeria,Brown Ideye[4]
2010,Nigeria,Peter Odemwingie
2010,Nigeria,Kalu Uche
2010,Nigeria,Ayila Yussuf
2010,Nigeria,Sani Kaita
2010,Nigeria,Lukman Haruna
2010,Nigeria,Austin Ejide
2010,Nigeria,Chidi Odiah
2010,Nigeria,Victor Obinna
2010,Nigeria,Chinedu Obasi
2010,Nigeria,Dickson Etuhu
2010,Nigeria,Elderson Echiéjilé
2010,Nigeria,Dele Adeleye
2010,Nigeria,Dele Aiyenugba
2010,South Korea,Lee Woon-jae
2010,South Korea,Oh Beom-seok
2010,South Korea,Kim Hyung-il
2010,South Korea,Cho Yong-hyung
2010,South Korea,Kim Nam-il
2010,South Korea,Kim Bo-kyung
2010,South Korea,Park Ji-sung (c)
2010,South Korea,Kim Jung-woo
2010,South Korea,Ahn Jung-hwan
2010,South Korea,Park Chu-young
2010,South Korea,Lee Seung-yeoul
2010,South Korea,Lee Young-pyo
2010,South Korea,Kim Jae-sung
2010,South Korea,Lee Jung-soo
2010,South Korea,Kim Dong-jin
2010,South Korea,Ki Sung-yueng
2010,South Korea,Lee Chung-yong
2010,South Korea,Jung Sung-ryong
2010,South Korea,Yeom Ki-hun
2010,South Korea,Lee Dong-gook
2010,South Korea,Kim Young-kwang
2010,South Korea,Cha Du-ri
2010,South Korea,Kang Min-soo
2010,Algeria,Lounès Gaouaoui
2010,Algeria,Madjid Bougherra
2010,Algeria,Nadir Belhadj
2010,Algeria,Antar Yahia (c)
2010,Algeria,Rafik Halliche
2010,Algeria,Yazid Mansouri
2010,Algeria,Ryad Boudebouz
2010,Algeria,Mehdi Lacen
2010,Algeria,Abdelkader Ghezzal
2010,Algeria,Rafik Saïfi
2010,Algeria,Rafik Djebbour
2010,Algeria,Habib Bellaïd
2010,Algeria,Karim Matmour
2010,Algeria,Abdelkader Laïfaoui
2010,Algeria,Karim Ziani
2010,Algeria,Faouzi Chaouchi
2010,Algeria,Adlène Guedioura
2010,Algeria,Carl Medjani
2010,Algeria,Hassan Yebda
2010,Algeria,Djamel Mesbah
2010,Algeria,Foued Kadir
2010,Algeria,Djamel Abdoun
2010,Algeria,Raïs M'Bolhi
2010,England,David James
2010,England,Glen Johnson
2010,England,Ashley Cole
2010,England,Steven Gerrard (c)
2010,England,Michael Dawson[5]
2010,England,John Terry
2010,England,Aaron Lennon
2010,England,Frank Lampard
2010,England,Peter Crouch
2010,England,Wayne Rooney
2010,England,Joe Cole
2010,England,Robert Green
2010,England,Stephen Warnock
2010,England,Gareth Barry
2010,England,Matthew Upson
2010,England,James Milner
2010,England,Shaun Wright-Phillips
2010,England,Jamie Carragher
2010,England,Jermain Defoe
2010,England,Ledley King
2010,England,Emile Heskey
2010,England,Michael Carrick
2010,England,Joe Hart
2010,Slovenia,Samir Handanović
2010,Slovenia,Mišo Brečko
2010,Slovenia,Elvedin Džinić
2010,Slovenia,Marko Šuler
2010,Slovenia,Boštjan Cesar
2010,Slovenia,Branko Ilić
2010,Slovenia,Nejc Pečnik
2010,Slovenia,Robert Koren (c)
2010,Slovenia,Zlatan Ljubijankić
2010,Slovenia,Valter Birsa
2010,Slovenia,Milivoje Novaković
2010,Slovenia,Jasmin Handanović
2010,Slovenia,Bojan Jokić
2010,Slovenia,Zlatko Dedić
2010,Slovenia,Rene Krhin
2010,Slovenia,Aleksander Šeliga
2010,Slovenia,Andraž Kirm
2010,Slovenia,Aleksandar Radosavljević
2010,Slovenia,Suad Fileković
2010,Slovenia,Andrej Komac
2010,Slovenia,Dalibor Stevanović
2010,Slovenia,Matej Mavrič
2010,Slovenia,Tim Matavž
2010,United States,Tim Howard
2010,United States,Jonathan Spector
2010,United States,Carlos Bocanegra (c)
2010,United States,Michael Bradley
2010,United States,Oguchi Onyewu
2010,United States,Steve Cherundolo
2010,United States,DaMarcus Beasley
2010,United States,Clint Dempsey
2010,United States,Herculez Gomez
2010,United States,Landon Donovan
2010,United States,Stuart Holden
2010,United States,Jonathan Bornstein
2010,United States,Ricardo Clark
2010,United States,Edson Buddle
2010,United States,Jay DeMerit
2010,United States,José Francisco Torres
2010,United States,Jozy Altidore
2010,United States,Brad Guzan
2010,United States,Maurice Edu
2010,United States,Robbie Findley
2010,United States,Clarence Goodson
2010,United States,Benny Feilhaber
2010,United States,Marcus Hahnemann
2010,Australia,Mark Schwarzer
2010,Australia,Lucas Neill (c)
2010,Australia,Craig Moore
2010,Australia,Tim Cahill
2010,Australia,Jason Culina
2010,Australia,Michael Beauchamp
2010,Australia,Brett Emerton
2010,Australia,Luke Wilkshire
2010,Australia,Joshua Kennedy
2010,Australia,Harry Kewell
2010,Australia,Scott Chipperfield
2010,Australia,Adam Federici
2010,Australia,Vince Grella
2010,Australia,Brett Holman
2010,Australia,Mile Jedinak
2010,Australia,Carl Valeri
2010,Australia,Nikita Rukavytsya
2010,Australia,Eugene Galekovic[6]
2010,Australia,Richard Garcia
2010,Australia,Mark Milligan
2010,Australia,David Carney
2010,Australia,Dario Vidošić
2010,Australia,Mark Bresciano
2010,Germany,Manuel Neuer
2010,Germany,Marcell Jansen
2010,Germany,Arne Friedrich
2010,Germany,Dennis Aogo
2010,Germany,Serdar Tasci
2010,Germany,Sami Khedira
2010,Germany,Bastian Schweinsteiger
2010,Germany,Mesut Özil
2010,Germany,Stefan Kießling
2010,Germany,Lukas Podolski
2010,Germany,Miroslav Klose
2010,Germany,Tim Wiese
2010,Germany,Thomas Müller
2010,Germany,Holger Badstuber
2010,Germany,Piotr Trochowski
2010,Germany,Philipp Lahm (c)
2010,Germany,Per Mertesacker
2010,Germany,Toni Kroos
2010,Germany,Cacau
2010,Germany,Jérôme Boateng
2010,Germany,Marko Marin
2010,Germany,Hans-Jörg Butt
2010,Germany,Mario Gómez
2010,Ghana,Daniel Agyei
2010,Ghana,Hans Sarpei
