year,team,player_name
2018,Egypt,Essam El Hadary 
2018,Egypt,Ali Gabr
2018,Egypt,Ahmed Elmohamady
2018,Egypt,Omar Gaber
2018,Egypt,Sam Morsy
2018,Egypt,Ahmed Hegazi
2018,Egypt,Ahmed Fathy
2018,Egypt,Tarek Hamed
2018,Egypt,Marwan Mohsen
2018,Egypt,Mohamed Salah
2018,Egypt,Kahraba
2018,Egypt,Ayman Ashraf
2018,Egypt,Mohamed Abdel Shafy
2018,Egypt,Ramadan Sobhi
2018,Egypt,Mahmoud Hamdy
2018,Egypt,Sherif Ekramy
2018,Egypt,Mohamed Elneny
2018,Egypt,Shikabala
2018,Egypt,Abdallah El Said
2018,Egypt,Saad Samir
2018,Egypt,Trézéguet
2018,Egypt,Amr Warda
2018,Egypt,Mohamed El Shenawy
2018,Russia,Igor Akinfeev 
2018,Russia,Mário Fernandes
2018,Russia,Ilya Kutepov
2018,Russia,Sergei Ignashevich
2018,Russia,Andrei Semyonov
2018,Russia,Denis Cheryshev
2018,Russia,Daler Kuzyayev
2018,Russia,Yury Gazinsky
2018,Russia,Alan Dzagoev
2018,Russia,Fyodor Smolov
2018,Russia,Roman Zobnin
2018,Russia,Andrey Lunyov
2018,Russia,Fyodor Kudryashov
2018,Russia,Vladimir Granat
2018,Russia,Aleksei Miranchuk
2018,Russia,Anton Miranchuk
2018,Russia,Aleksandr Golovin
2018,Russia,Yuri Zhirkov
2018,Russia,Aleksandr Samedov
2018,Russia,Vladimir Gabulov
2018,Russia,Aleksandr Yerokhin
2018,Russia,Artem Dzyuba
2018,Russia,Igor Smolnikov
2018,Saudi Arabia,Abdullah Al-Mayouf
2018,Saudi Arabia,Mansoor Al-Harbi
2018,Saudi Arabia,Osama Hawsawi 
2018,Saudi Arabia,Ali Al-Bulaihi
2018,Saudi Arabia,Omar Hawsawi
2018,Saudi Arabia,Mohammed Al-Breik
2018,Saudi Arabia,Salman Al-Faraj
2018,Saudi Arabia,Yahya Al-Shehri
2018,Saudi Arabia,Hattan Bahebri
2018,Saudi Arabia,Mohammad Al-Sahlawi
2018,Saudi Arabia,Abdulmalek Al-Khaibri
2018,Saudi Arabia,Mohamed Kanno
2018,Saudi Arabia,Yasser Al-Shahrani
2018,Saudi Arabia,Abdullah Otayf
2018,Saudi Arabia,Abdullah Al-Khaibari
2018,Saudi Arabia,Housain Al-Mogahwi
2018,Saudi Arabia,Taisir Al-Jassim
2018,Saudi Arabia,Salem Al-Dawsari
2018,Saudi Arabia,Fahad Al-Muwallad
2018,Saudi Arabia,Muhannad Assiri
2018,Saudi Arabia,Yasser Al-Mosailem
2018,Saudi Arabia,Mohammed Al-Owais
2018,Saudi Arabia,Motaz Hawsawi
2018,Uruguay,Fernando Muslera
2018,Uruguay,José Giménez
2018,Uruguay,Diego Godín 
2018,Uruguay,Guillermo Varela
2018,Uruguay,Carlos Sánchez
2018,Uruguay,Rodrigo Bentancur
2018,Uruguay,Cristian Rodríguez
2018,Uruguay,Nahitan Nández
2018,Uruguay,Luis Suárez
2018,Uruguay,Giorgian De Arrascaeta
2018,Uruguay,Cristhian Stuani
2018,Uruguay,Martín Campaña
2018,Uruguay,Gastón Silva
2018,Uruguay,Lucas Torreira
2018,Uruguay,Matías Vecino
2018,Uruguay,Maxi Pereira
2018,Uruguay,Diego Laxalt
2018,Uruguay,Maxi Gómez
2018,Uruguay,Sebastián Coates
2018,Uruguay,Jonathan Urretaviscaya
2018,Uruguay,Edinson Cavani
2018,Uruguay,Martín Cáceres
2018,Uruguay,Martín Silva
2018,Iran,Alireza Beiranvand
2018,Iran,Mehdi Torabi
2018,Iran,Ehsan Hajsafi
2018,Iran,Rouzbeh Cheshmi
2018,Iran,Milad Mohammadi
2018,Iran,Saeid Ezatolahi
2018,Iran,Masoud Shojaei 
2018,Iran,Morteza Pouraliganji
2018,Iran,Omid Ebrahimi
2018,Iran,Karim Ansarifard
2018,Iran,Vahid Amiri
2018,Iran,Mohammad Rashid Mazaheri
2018,Iran,Mohammad Reza Khanzadeh
2018,Iran,Saman Ghoddos
2018,Iran,Pejman Montazeri
2018,Iran,Reza Ghoochannejhad
2018,Iran,Mehdi Taremi
2018,Iran,Alireza Jahanbakhsh
2018,Iran,Majid Hosseini
2018,Iran,Sardar Azmoun
2018,Iran,Ashkan Dejagah
2018,Iran,Amir Abedzadeh
2018,Iran,Ramin Rezaeian
2018,Morocco,Yassine Bounou
2018,Morocco,Achraf Hakimi
2018,Morocco,Hamza Mendyl
2018,Morocco,Manuel da Costa
2018,Morocco,Medhi Benatia 
2018,Morocco,Romain Saïss
2018,Morocco,Hakim Ziyech
2018,Morocco,Karim El Ahmadi
2018,Morocco,Ayoub El Kaabi
2018,Morocco,Younès Belhanda
2018,Morocco,Fayçal Fajr
2018,Morocco,Munir Mohamedi
2018,Morocco,Khalid Boutaïb
2018,Morocco,Mbark Boussoufa
2018,Morocco,Youssef Aït Bennasser
2018,Morocco,Nordin Amrabat
2018,Morocco,Nabil Dirar
2018,Morocco,Amine Harit
2018,Morocco,Youssef En-Nesyri
2018,Morocco,Aziz Bouhaddouz
2018,Morocco,Sofyan Amrabat
2018,Morocco,Ahmed Reda Tagnaouti
2018,Morocco,Mehdi Carcela
2018,Portugal,Rui Patrício
2018,Portugal,Bruno Alves
2018,Portugal,Pepe
2018,Portugal,Manuel Fernandes
2018,Portugal,Raphaël Guerreiro
2018,Portugal,José Fonte
2018,Portugal,Cristiano Ronaldo 
2018,Portugal,João Moutinho
2018,Portugal,André Silva
2018,Portugal,João Mário
2018,Portugal,Bernardo Silva
2018,Portugal,Anthony Lopes
2018,Portugal,Rúben Dias
2018,Portugal,William Carvalho
2018,Portugal,Ricardo Pereira
2018,Portugal,Bruno Fernandes
2018,Portugal,Gonçalo Guedes
2018,Portugal,Gelson Martins
2018,Portugal,Mário Rui
2018,Portugal,Ricardo Quaresma
2018,Portugal,Cédric
2018,Portugal,Beto
2018,Portugal,Adrien Silva
2018,Spain,David de Gea
2018,Spain,Dani Carvajal
2018,Spain,Gerard Piqué
2018,Spain,Nacho
2018,Spain,Sergio Busquets
2018,Spain,Andrés Iniesta
2018,Spain,Saúl
2018,Spain,Koke
2018,Spain,Rodrigo
2018,Spain,Thiago
2018,Spain,Lucas Vázquez
2018,Spain,Álvaro Odriozola
2018,Spain,Kepa Arrizabalaga
2018,Spain,César Azpilicueta
2018,Spain,Sergio Ramos 
2018,Spain,Nacho Monreal
2018,Spain,Iago Aspas
2018,Spain,Jordi Alba
2018,Spain,Diego Costa
2018,Spain,Marco Asensio
2018,Spain,David Silva
2018,Spain,Isco
2018,Spain,Pepe Reina
2018,Australia,Mathew Ryan
2018,Australia,Miloš Degenek
2018,Australia,James Meredith
2018,Australia,Tim Cahill
2018,Australia,Mark Milligan
2018,Australia,Matthew Jurman
2018,Australia,Mathew Leckie
2018,Australia,Massimo Luongo
2018,Australia,Tomi Juric
2018,Australia,Robbie Kruse
2018,Australia,Andrew Nabbout
2018,Australia,Brad Jones
2018,Australia,Aaron Mooy
2018,Australia,Jamie Maclaren
2018,Australia,Mile Jedinak 
2018,Australia,Aziz Behich
2018,Australia,Daniel Arzani
2018,Australia,Danny Vukovic
2018,Australia,Josh Risdon
2018,Australia,Trent Sainsbury
2018,Australia,Dimitri Petratos
2018,Australia,Jackson Irvine
2018,Australia,Tom Rogic
2018,Denmark,Kasper Schmeichel
2018,Denmark,Michael Krohn-Dehli
2018,Denmark,Jannik Vestergaard
2018,Denmark,Simon Kjær 
2018,Denmark,Jonas Knudsen
2018,Denmark,Andreas Christensen
2018,Denmark,William Kvist
2018,Denmark,Thomas Delaney
2018,Denmark,Nicolai Jørgensen
2018,Denmark,Christian Eriksen
2018,Denmark,Martin Braithwaite
2018,Denmark,Kasper Dolberg
2018,Denmark,Mathias Jørgensen
2018,Denmark,Henrik Dalsgaard
2018,Denmark,Viktor Fischer
2018,Denmark,Jonas Lössl
2018,Denmark,Jens Stryger Larsen
2018,Denmark,Lukas Lerager
2018,Denmark,Lasse Schöne
2018,Denmark,Yussuf Poulsen
2018,Denmark,Andreas Cornelius
2018,Denmark,Frederik Rønnow
2018,Denmark,Pione Sisto
2018,France,Hugo Lloris 
2018,France,Benjamin Pavard
2018,France,Presnel Kimpembe
2018,France,Raphaël Varane
2018,France,Samuel Umtiti
2018,France,Paul Pogba
2018,France,Antoine Griezmann
2018,France,Thomas Lemar
2018,France,Olivier Giroud
2018,France,Kylian Mbappé
2018,France,Ousmane Dembélé
2018,France,Corentin Tolisso
2018,France,N'Golo Kanté
2018,France,Blaise Matuidi
2018,France,Steven Nzonzi
2018,France,Steve Mandanda
2018,France,Adil Rami
2018,France,Nabil Fekir
2018,France,Djibril Sidibé
2018,France,Florian Thauvin
2018,France,Lucas Hernandez
2018,France,Benjamin Mendy
2018,France,Alphonse Areola
2018,Peru,Pedro Gallese
2018,Peru,Alberto Rodríguez
2018,Peru,Aldo Corzo
2018,Peru,Anderson Santamaría
2018,Peru,Miguel Araujo
2018,Peru,Miguel Trauco
2018,Peru,Paolo Hurtado
2018,Peru,Christian Cueva
2018,Peru,Paolo Guerrero 
