team,year,team_mean_overall,team_max_overall,team_top3_overall,team_overall_std,team_top3_shooting,team_top3_passing,team_top3_defending,team_top3_physic,team_top3_pace,team_mean_age,team_min_age,team_max_age,success_score
France,2010,81.40640016593876,87.0,85.66666666666667,3.8706361847514827,87.66666666666667,86.33333333333333,85.66666666666667,86.66666666666667,90.33333333333333,28.26316658792258,24.0,33.0,0.01
Mexico,2010,73.50845250579057,83.0,81.0,4.1830945402432596,77.33333333333333,82.0,81.0,80.0,85.33333333333333,27.178507088888637,21.0,37.0,0.20
South Africa,2010,68.54045333548441,80.0,76.33333333333333,4.141063403277844,70.33333333333333,82.0,74.33333333333333,79.0,85.0,27.189992202414565,23.0,33.0,0.01
Uruguay,2010,74.34963528042499,85.0,83.0,4.999852089174104,88.0,79.66666666666667,82.0,81.0,82.66666666666667,26.919934546376425,21.0,35.0,0.75
Argentina,2010,78.82789614999021,90.0,87.33333333333333,6.380658710533824,91.0,87.66666666666667,85.0,87.0,89.0,26.659064981159037,21.0,37.0,0.50
Greece,2010,73.9583309325989,80.0,79.33333333333333,3.883175574992629,81.33333333333333,79.66666666666667,78.66666666666667,84.66666666666667,83.66666666666667,27.789499763767736,20.0,36.0,0.01
Nigeria,2010,72.10567072678874,81.0,79.33333333333333,5.1002796773264345,80.66666666666667,77.0,77.66666666666667,88.0,90.33333333333333,27.103035680675436,20.0,34.0,0.01
South Korea,2010,67.54226252895286,73.0,71.66666666666667,2.8239429715584135,68.0,75.33333333333333,70.33333333333333,73.66666666666667,69.0,27.153405009660556,21.0,37.0,0.20
Algeria,2010,69.72765300360686,79.0,77.33333333333333,4.75050553082756,74.66666666666667,79.0,76.0,84.0,80.33333333333333,26.533224243960714,20.0,35.0,0.01
England,2010,81.88466103550398,89.0,88.0,4.474160486147578,91.66666666666667,89.66666666666667,85.0,92.0,91.0,29.00229702270519,23.0,40.0,0.20
Slovenia,2010,69.0,78.0,76.33333333333333,4.022663070879561,79.66666666666667,73.33333333333333,73.33333333333333,81.33333333333333,78.0,27.17391304347826,20.0,32.0,0.01
United States,2010,71.76932207100796,82.0,80.33333333333333,4.833938454442463,76.66666666666667,78.66666666666667,73.33333333333333,85.33333333333333,87.66666666666667,27.30894187149733,21.0,38.0,0.20
Australia,2010,70.7542262528953,79.0,78.66666666666667,4.9172868122106985,76.66666666666667,81.0,74.33333333333333,82.33333333333333,81.0,29.045775283574752,23.0,38.0,0.01
Germany,2010,79.44987842680834,86.0,84.66666666666667,4.029057385346786,87.33333333333333,87.0,85.33333333333333,84.33333333333333,86.66666666666667,25.00229702270519,20.0,32.0,0.75
Ghana,2010,71.04709664780651,80.0,78.33333333333333,4.9863746330181105,77.66666666666667,78.0,77.66666666666667,84.0,85.0,26.231173440578942,21.0,34.0,0.50
Serbia,2010,75.32125283766811,88.0,84.0,5.367780478456777,82.33333333333333,83.33333333333333,81.0,89.0,88.66666666666667,26.661362003864223,22.0,32.0,0.01
Cameroon,2010,73.27777457679854,84.0,82.0,5.572015174503617,77.33333333333333,81.66666666666667,81.0,87.33333333333333,84.33333333333333,26.487448960385965,19.0,37.0,0.01
Denmark,2010,72.40640016593876,82.0,79.33333333333333,4.501766356070257,76.66666666666667,81.66666666666667,81.0,84.33333333333333,83.0,28.045775283574752,18.0,35.0,0.01
Japan,2010,69.30010716878509,78.0,76.66666666666667,3.5378988346495897,73.33333333333333,77.66666666666667,62.781076066790355,66.97711811997526,78.33333333333333,27.1260059077273,22.0,32.0,0.20
Netherlands,2010,78.07366989709493,86.0,85.0,4.832838927655203,86.33333333333333,88.0,79.66666666666667,85.0,89.0,27.569811436714723,22.0,36.0,0.90
Italy,2010,81.34782608695652,88.0,86.33333333333333,3.6507620082808354,88.66666666666667,89.66666666666667,84.0,86.33333333333333,85.66666666666667,28.73913043478261,23.0,37.0,0.01
New Zealand,2010,65.87499279779672,78.0,73.33333333333333,4.37438414728856,75.0,68.0,69.66666666666667,84.66666666666667,77.66666666666667,27.629368856520593,19.0,34.0,0.01
Paraguay,2010,72.19081805505941,82.0,80.33333333333333,4.536501375731067,86.0,77.33333333333333,78.0,82.0,77.33333333333333,28.61788374299466,23.0,36.0,0.50
Slovakia,2010,71.5688357782413,81.0,80.33333333333333,5.097304610661536,80.33333333333333,78.66666666666667,77.33333333333333,79.66666666666667,88.0,27.01378213623112,21.0,34.0,0.20
Brazil,2010,80.50845250579057,89.0,87.33333333333333,5.279636917840439,88.0,86.0,86.33333333333333,87.66666666666667,90.0,28.917637523671246,23.0,34.0,0.50
Ivory Coast,2010,73.84480116157135,87.0,84.66666666666667,6.368473078656065,86.33333333333333,83.0,82.66666666666667,91.33333333333333,87.0,26.842166115458046,22.0,32.0,0.01
North Korea,2010,67.41906452021806,69.0,67.89813587772771,0.3446318277391775,56.73024707718585,62.9883970904379,47.34322820037105,66.4656771799629,72.64469770592218,27.094012760383663,27.05283152221928,28.0,0.01
Portugal,2010,79.4933566876779,89.0,85.66666666666667,4.365096270950746,88.33333333333333,87.66666666666667,85.33333333333333,87.66666666666667,88.66666666666667,28.26316658792258,22.0,33.0,0.20
Chile,2010,72.36654029200614,80.0,78.66666666666667,4.407893205273455,77.0,81.66666666666667,80.66666666666667,77.66666666666667,83.0,26.32042698502326,22.0,32.0,0.20
Honduras,2010,69.02233259198655,80.0,78.0,4.164247649954156,70.33333333333333,77.33333333333333,78.33333333333333,81.0,86.66666666666667,27.33420912125438,24.0,34.0,0.01
Spain,2010,76.3683494854746,88.0,87.66666666666667,8.54024735381811,92.0,92.0,82.66666666666667,88.33333333333333,88.66666666666667,26.19688327053012,22.0,30.0,1.00
Switzerland,2010,73.94323511448623,80.0,79.0,3.292175864591114,82.0,78.33333333333333,79.66666666666667,83.33333333333333,83.66666666666667,27.52633317584516,22.0,35.0,0.01
