team,year,team_mean_overall,team_max_overall,team_top3_overall,team_overall_std,team_top3_shooting,team_top3_passing,team_top3_defending,team_top3_physic,team_top3_pace,team_mean_age,team_min_age,team_max_age,success_score
Egypt,2018,69.50908117847058,87.0,80.33333333333333,4.359958344053218,72.33333333333333,73.0,69.66666666666667,76.0,86.66666666666667,26.832683524562775,20.0,44.0,0.01
Russia,2018,74.48785301567774,81.0,80.33333333333333,5.10478411778617,76.33333333333333,77.66666666666667,79.33333333333333,79.0,86.0,27.079245995805703,21.0,37.0,0.50
Saudi Arabia,2018,69.7805648250844,75.0,74.66666666666667,3.6353401278672246,71.33333333333333,71.33333333333333,74.0,80.66666666666667,88.33333333333333,26.622445767202176,22.0,33.0,0.01
Uruguay,2018,76.81445093984142,92.0,89.0,7.046194199706021,85.0,75.66666666666667,84.66666666666667,82.66666666666667,85.0,26.847547597483423,20.0,33.0,0.50
Iran,2018,68.1051188786803,77.0,75.0,3.642609355452583,73.0,67.33333333333333,64.0,71.66666666666667,86.33333333333333,24.795801831734238,20.0,29.0,0.01
Morocco,2018,72.61828779828643,84.0,82.0,5.704297082674136,75.33333333333333,80.66666666666667,77.33333333333333,80.0,78.66666666666667,25.600985126240488,18.0,32.0,0.01
Portugal,2018,79.83670103791816,94.0,88.0,5.667333818280838,81.66666666666667,81.66666666666667,81.66666666666667,82.66666666666667,90.66666666666667,26.572370938291577,20.0,35.0,0.20
Spain,2018,77.29168987412277,90.0,88.33333333333333,9.399867480562824,83.0,86.0,83.66666666666667,84.0,89.33333333333333,26.48485743760625,21.0,31.0,0.20
Australia,2018,71.17391304347827,77.0,77.0,4.270960866054335,72.0,71.33333333333333,74.66666666666667,80.33333333333333,87.66666666666667,26.608695652173914,18.0,37.0,0.01
Denmark,2018,75.74974451617902,87.0,83.66666666666667,4.943943399652972,78.33333333333333,81.66666666666667,81.33333333333333,81.33333333333333,84.66666666666667,25.485414416552445,19.0,34.0,0.20
France,2018,81.18452712487468,88.0,87.66666666666667,4.944936456645115,82.0,80.66666666666667,83.0,86.66666666666667,89.0,24.52889267742201,18.0,32.0,1.00
Peru,2018,68.70524432002559,78.0,77.0,4.752874753102705,75.33333333333333,74.33333333333333,67.0,76.0,87.66666666666667,25.3401155610231,21.0,32.0,0.01
Argentina,2018,81.21739130434783,93.0,90.66666666666667,5.204513091705999,88.33333333333333,84.33333333333333,83.0,81.66666666666667,88.33333333333333,28.17391304347826,21.0,35.0,0.20
Croatia,2018,76.96611388524296,89.0,87.0,7.202960080316606,81.66666666666667,84.66666666666667,80.0,84.0,83.0,26.2096807784144,20.0,32.0,0.90
Iceland,2018,68.09450479728388,82.0,77.66666666666667,5.338006506049335,76.33333333333333,76.0,70.0,78.0,74.0,26.397343936920922,20.0,34.0,0.01
Nigeria,2018,70.38926047725832,79.0,76.66666666666667,3.990715351477495,74.0,71.33333333333333,72.33333333333333,78.33333333333333,89.66666666666667,24.05722837589783,20.0,29.0,0.01
Brazil,2018,80.7274944181023,92.0,89.0,6.679342908565255,81.33333333333333,80.33333333333333,87.0,81.33333333333333,92.0,27.369286727918205,20.0,36.0,0.50
Costa Rica,2018,71.24821161325319,85.0,80.0,5.098625024510365,73.66666666666667,74.33333333333333,77.0,78.33333333333333,85.33333333333333,27.267466133258427,24.0,33.0,0.01
Serbia,2018,74.39028241254219,83.0,81.66666666666667,5.183501316365606,73.33333333333333,78.0,80.66666666666667,84.33333333333333,84.33333333333333,25.24600549229674,19.0,33.0,0.01
Switzerland,2018,76.4019184292225,84.0,83.0,4.28772950764666,76.0,79.0,78.33333333333333,80.0,81.0,25.61584919916114,20.0,33.0,0.20
Germany,2018,82.96713582052685,92.0,90.0,5.181850071355753,83.66666666666667,86.66666666666667,86.66666666666667,83.0,87.66666666666667,25.702805720900272,21.0,31.0,0.01
Mexico,2018,75.5970596354936,82.0,81.33333333333333,5.299215445828399,79.0,79.66666666666667,77.66666666666667,79.0,90.0,26.456243249657337,19.0,33.0,0.20
South Korea,2018,70.15064101011764,78.0,76.0,3.6188753935417717,75.0,76.33333333333333,72.0,80.66666666666667,84.33333333333333,26.303790847140757,19.0,30.0,0.01
Sweden,2018,74.83670103791816,83.0,81.0,3.586920913626394,78.66666666666667,77.33333333333333,79.33333333333333,80.33333333333333,80.66666666666667,26.44193615568288,22.0,32.0,0.50
Belgium,2018,82.1304347826087,90.0,89.33333333333333,4.485373682882933,83.66666666666667,84.0,85.33333333333333,85.66666666666667,89.33333333333333,26.217391304347824,20.0,31.0,0.75
England,2018,78.82608695652173,86.0,84.66666666666667,4.820903102051274,82.33333333333333,79.0,82.0,83.33333333333333,92.0,24.608695652173914,18.0,31.0,0.75
Panama,2018,66.82199921538617,75.0,72.33333333333333,3.1218645441670883,55.09296098734442,62.33475577868424,72.33333333333333,76.66666666666667,71.64796569396508,26.027500230056518,24.0,32.0,0.01
Tunisia,2018,67.96407001467519,78.0,75.66666666666667,3.6683574508938652,69.66666666666667,71.33333333333333,73.0,76.66666666666667,75.33333333333333,24.96256132822527,20.0,30.0,0.01
Colombia,2018,74.41151057533503,86.0,83.33333333333333,6.049142858640251,80.33333333333333,77.0,79.66666666666667,80.66666666666667,91.66666666666667,26.347269108010323,21.0,33.0,0.20
Japan,2018,74.08695652173913,83.0,79.66666666666667,3.4498095267349163,73.66666666666667,78.0,75.66666666666667,76.66666666666667,83.66666666666667,27.869565217391305,22.0,36.0,0.20
Poland,2018,76.04347826086956,91.0,86.33333333333333,6.071380409680436,82.66666666666667,76.66666666666667,82.0,84.0,83.33333333333333,26.91304347826087,20.0,32.0,0.01
Senegal,2018,73.2482116132532,84.0,83.66666666666667,6.071827748908361,74.66666666666667,72.33333333333333,82.0,88.0,92.0,25.48485743760625,19.0,31.0,0.01
